name,id,idx,Y,M,O
25140,25140,653,0.12,0.16,0.72
25141,25141,654,0.12,0.16,0.72
25142,25142,655,0.12,0.16,0.72
25143,25143,656,0.12,0.16,0.72
25145,25145,657,0.12,0.16,0.72
25146,25146,658,0.12,0.16,0.72
25148,25148,659,0.12,0.16,0.72
25149,25149,660,0.12,0.16,0.72
25150,25150,661,0.12,0.16,0.72
25151,25151,662,0.12,0.16,0.72
25152,25152,663,0.12,0.16,0.72
25153,25153,664,0.12,0.16,0.72
25154,25154,665,0.12,0.16,0.72
25155,25155,666,0.12,0.16,0.72
25156,25156,667,0.12,0.16,0.72
25157,25157,668,0.12,0.16,0.72
25158,25158,669,0.12,0.16,0.72
25161,25161,670,0.12,0.16,0.72
25163,25163,671,0.12,0.16,0.72
25164,25164,672,0.12,0.16,0.72
25165,25165,673,0.12,0.16,0.72
25166,25166,674,0.12,0.16,0.72
25167,25167,675,0.12,0.16,0.72
25168,25168,676,0.12,0.16,0.72
25169,25169,677,0.12,0.16,0.72
25170,25170,678,0.12,0.16,0.72
25171,25171,679,0.12,0.19,0.72
25172,25172,680,0.12,0.17,0.72
25173,25173,681,0.12,0.16,0.72
25174,25174,682,0.12,0.16,0.72
25175,25175,683,0.12,0.16,0.72
25176,25176,684,0.12,0.16,0.72
25177,25177,685,0.12,0.16,0.72
25179,25179,686,0.12,0.16,0.72
25180,25180,687,0.12,0.16,0.72
25181,25181,688,0.12,0.16,0.72
25182,25182,689,0.12,0.16,0.72
25183,25183,690,0.12,0.16,0.72
25185,25185,691,0.12,0.16,0.72
25186,25186,692,0.12,0.16,0.72
25189,25189,693,0.12,0.22,0.72
25190,25190,694,0.12,0.16,0.72
25191,25191,695,0.12,0.16,0.72
25192,25192,696,0.12,0.16,0.72
