source_idx,target_idx,ratio
3,110,0.0014575581145698
3,136,0.001603656075819
4,1,0.0046159255464035005
4,2,0.0033945609448304
4,4,5.666857306937631
4,5,1.7090884399406814
4,7,0.0081174107867488
4,8,0.0136990896814049
4,11,0.008361392929737501
4,16,0.001439906950248
4,19,0.0055166369529752
4,21,0.004306750813851
4,22,0.0011283500253039
4,24,0.0131254400824333
4,26,0.0394140202977159
4,28,0.0041040016684483
4,29,0.0056070555043131
4,30,0.0045433655447066
4,33,0.0030598559634708
4,34,0.0134641280131032
4,36,0.0317082264138535
4,38,0.0103533884986843
4,39,0.1213490569337837
4,40,0.071472356963675
4,41,0.0088232499634892
4,42,0.0072011799515966
4,46,0.0074203500057111
4,49,0.0102011796257459
4,50,0.0118363396401196
4,51,0.0158441238683824
4,52,0.0223798400006559
4,53,0.0073129203140296
4,54,0.0247352921453539
4,56,0.2523255547012508
4,58,0.0027698050086892
4,60,0.015203626351553
4,61,0.0011727923967494
4,62,0.0286009184494763
4,63,0.0042577765214529
4,64,0.0019546539945824
4,66,0.0013717421124828
4,68,0.0010634796087339
4,70,0.0075063386399552
4,73,0.0015192565839055
4,75,0.5039270925283534
4,78,0.0279430897562077
4,79,0.0279414905252156
4,81,0.037472304453457304
4,82,0.0011283500253039
4,84,0.0036956051182684
4,85,0.10819805724987941
4,89,0.0011757679553344
4,90,0.0017637936600936
4,99,0.0010496988050498
4,114,0.0010496988050498
5,1,0.0039033918491497
5,4,0.1463399398179518
5,5,8.772849365903665
5,11,0.0139451944342086
5,12,0.0030863063127889003
5,16,0.0236896210993493
5,19,0.043472398498654904
5,22,0.014589983245729
5,24,0.0047881856390823
5,26,0.3505002123304461
5,28,0.0011089721182406
5,29,0.0011336207814428
5,33,0.0039130457977591005
5,37,0.0073408701192874005
5,39,0.0443751226741934
5,46,0.0036663960470040002
5,47,0.0046606918117264
5,49,0.0015842458832009
5,50,0.0023508434662612
5,51,0.0801432049771553
5,52,0.009608014225895
5,53,0.0075545843993242
5,54,0.0062281393267155
5,56,0.11775826848757849
5,58,0.0143296420223757
5,60,0.0460117629932867
5,61,0.0023891757238159
5,62,0.0025207707428261
5,63,0.0117477623210353
5,66,0.0239393864856318
5,70,0.0255920632530414
5,73,0.0021879944536788
5,75,0.1207670068343201
5,78,0.0182359989838472
5,79,0.0112533355518091
5,80,0.0027680804648413
5,81,0.0270061800217864
5,83,0.0059854336907822
5,90,0.010916237987727801
6,3,0.0020674935850085
6,5,0.0049030214042642
6,6,0.2884010072978823
6,9,0.0012466653389071
6,32,0.0282740110057718
6,53,0.0012466653389071
6,55,0.0072818661912041
6,57,0.0012466653389071
6,67,0.0015888624803486
6,81,0.0020674935850085
6,89,0.0061246985662125
6,91,0.0012466653389071
6,102,0.0014081616279775
6,105,0.002816323255955
6,112,0.0014081616279775
6,134,0.0023908569076144
7,2,0.0368815011882121
7,4,0.0326664724809876
7,5,0.0906231172053208
7,7,0.0716554880228121
7,8,0.1517410334600727
7,16,0.001053757176806
7,17,0.0094838145912545
7,19,0.0021075143536121
7,21,0.0031612715304181
7,24,0.0136988432984787
7,26,0.002107514353612
7,27,0.001053757176806
7,28,0.001053757176806
7,30,0.001053757176806
7,36,0.3013745525665331
7,40,0.0073763002376424
7,41,0.0021075143536121
7,43,0.001053757176806
7,46,0.001053757176806
7,50,0.001053757176806
7,51,0.001053757176806
7,52,0.001053757176806
7,53,0.001053757176806
7,54,0.0021075143536121
7,56,0.0063225430608363
7,64,0.0210751435361212
7,66,0.001053757176806
7,68,0.0948381459125455
7,71,0.001053757176806
7,75,0.0031612715304181003
7,78,0.0021075143536121
7,81,0.001053757176806
7,83,0.001053757176806
7,84,0.001053757176806
7,85,0.0031612715304181
7,94,0.0021075143536121
7,95,0.001053757176806
7,99,0.0011575768155915
7,105,0.0011575768155915
7,107,0.0011575768155915
7,157,0.0011575768155915
7,159,0.0011575768155915
8,2,0.024363193103875
8,4,0.0215946484329799
8,5,0.0764118329166984
8,7,0.0841638967346018
8,8,0.0930233784208626
8,17,0.0055370893417897
8,21,0.0022148357367159
8,24,0.0077519250785056
8,32,0.0011074178683579
8,36,0.1733110351374171
8,38,0.0011074178683579
